,Day,Date,"year, time",Bt,P,P_bat,K,C_cat,X_bat,X_cat,rate
16,Sunday, May 24, 2020 5:38 PM;8935,880,2002.04109716485,2503.19002821477,0.200204109716484,558.622660571906,558.622660571906,622.96372469516,0.2921
17,Sunday, May 24, 2020 5:39 PM;8935,800,2001.30608891715,2502.04109716485,0.200130608891716,622.96372469516,622.96372469516,658.394102267839,0.177
18,Sunday, May 24, 2020 5:40 PM;8935,807,2000.83580957565,2501.30608891715,0.200083580957564,658.394102267839,658.394102267839,688.127702437503,0.1473
19,Sunday, May 24, 2020 5:41 PM;8932,300,2000.53488236363,2500.83580957565,0.200053488236364,688.127702437503,688.127702437503,610.481401683715,-1.0349
20,Sunday, May 24, 2020 5:42 PM;8930,100,2000.34231006507,2500.53488236363,0.200034231006508,610.481401683715,610.481401683715,508.367647054789,-4.0837
21,Sunday, May 24, 2020 5:43 PM;8930,100,2000.21907244239,2500.34231006507,0.200021907244238,508.367647054789,508.367647054789,426.685171434048,-3.2669
22,Sunday, May 24, 2020 5:44 PM;8930,100,2000.14020390595,2500.21907244239,0.200014020390594,426.685171434048,426.685171434048,361.343556893534,-2.6134
23,Sunday, May 24, 2020 5:45 PM;8930,100,2000.08972949337,2500.14020390595,0.200008972949336,361.343556893534,361.343556893534,309.072500492332,-2.0907
24,Sunday, May 24, 2020 5:46 PM;8930,100,2000.05742646353,2500.08972949337,0.200005742646352,309.072500492332,309.072500492332,267.256799764433,-1.6726
25,Sunday, May 24, 2020 5:47 PM;8930,67,2000.03675276782,2500.05742646353,0.200003675276782,267.256799764433,267.256799764433,227.20470381238,-2.3911
26,Sunday, May 24, 2020 5:48 PM;8930,0,2000.02352170225,2500.03675276782,0.200002352170225,227.20470381238,227.20470381238,181.763228625765,inf
27,Sunday, May 24, 2020 5:49 PM;8930,0,2000.01505386111,2500.02352170225,0.200001505386112,181.763228625765,181.763228625765,145.410309276772,inf
28,Sunday, May 24, 2020 5:50 PM;8930,100,2000.00963445951,2500.01505386111,0.200000963445951,145.410309276772,145.410309276772,136.328203671039,-0.3633
29,Sunday, May 24, 2020 5:51 PM;8930,0,2000.00616604933,2500.00963445951,0.200000616604933,136.328203671039,136.328203671039,109.062478876188,inf
30,Sunday, May 24, 2020 5:52 PM;8939,600,2000.00394626963,2500.00616604933,0.200000394626963,109.062478876188,109.062478876188,207.250176838133,0.6546
31,Sunday, May 24, 2020 5:53 PM;8938,500,2000.00252561177,2500.00394626963,0.200000252561177,207.250176838133,207.250176838133,265.800215407746,0.4684
32,Sunday, May 24, 2020 5:54 PM;8938,700,2000.0016163912,2500.00252561177,0.20000016163912,265.800215407746,265.800215407746,352.640242509868,0.4962
33,Sunday, May 24, 2020 5:55 PM;8939,300,2000.00103449023,2500.0016163912,0.200000103449024,352.640242509868,352.640242509868,342.112188562313,-0.1404
34,Sunday, May 24, 2020 5:56 PM;8939,600,2000.00066207369,2500.00103449023,0.20000006620737,342.112188562313,342.112188562313,393.689767923924,0.3439
35,Sunday, May 24, 2020 5:57 PM;8939,600,2000.00042372713,2500.00066207369,0.200000042372714,393.689767923924,393.689767923924,434.951823081064,0.2751
36,Sunday, May 24, 2020 5:58 PM;8939,600,2000.00027118535,2500.00042372713,0.200000027118536,434.951823081064,434.951823081064,467.961462940716,0.2201
37,Sunday, May 24, 2020 5:59 PM;8939,600,2000.00017355862,2500.00027118535,0.200000017355861,467.961462940716,467.961462940716,494.369172644215,0.1761
38,Sunday, May 24, 2020 6:00 PM;8930,0,2000.00011107752,2500.00017355862,0.200000011107752,494.369172644215,494.369172644215,395.495332624042,inf
39,Sunday, May 24, 2020 6:01 PM;8930,0,2000.00007108961,2500.00011107752,0.200000007108962,395.495332624042,395.495332624042,316.396263287672,inf
40,Sunday, May 24, 2020 6:02 PM;8930,0,2000.00004549735,2500.00007108961,0.200000004549735,316.396263287672,316.396263287672,253.117009190618,inf
